25010,Don Telecom,Russia
25012,New Telephone Company,Russia
25013,Kuban GSM,Russia
25039,Uratel,Russia
25044,North Caucasian GSM,Russia
25099,BeeLine,Russia
25501,Ukrainian Mobile Comms,Ukraine
25502,Ukrainian Radio Systems,Ukraine
25503,Kyivstar GSM,Ukraine
25505,Golden Telecom,Ukraine
25701,Velcom,
25702,MTS,
25901,Voxtel,Moldova
25902,Moldcell,Moldova
26001,Polkomtel PLUS GSM,Poland
26002,ERA GSM,Poland
26003,IDEA Centertel,Poland
26201,T-Mobile,Germany
26202,Vodafone,Germany
26203,E-Plus Mobilfunk,Germany
26207,O2,Germany
26213,MobilCom,Germany
26214,Quam,Germany
26601,Gibraltar Telecoms Gibtel,Gibraltar
26801,Vodafone,Portugal
26803,Optimus Telecom.,Portugal
26806,Telecom Moveis Nac. TMN,Portugal
27001,P+T LUXGSM,Luxembourg
27077,Millicom Tango GSM,Luxembourg
27201,Vodafone,Ireland
27202,O2,Ireland
27203,Meteor,Ireland
27401,Iceland Telecom Siminn,Iceland
27402,TAL hf,Iceland
27403,Islandss,Iceland
27404,Viking,Iceland
27601,Albanian Mobile Comms,Albania
27602,Vodafone,Albania
27801,Vodafone,Malta
27821,Go Mobile,Malta
28001,Cyprus Telecoms Authority,Cyprus
28201,Geocell Limited,Georgia
28202,Magti GSM,Georgia
28203,Geo 03,Georgia
28301,ArmenTel,Armenia
28401,MobilTel AD,Bulgaria
28405,Globul,Bulgaria
28601,Turkcell,Turkey
28602,TELSIM,Turkey
28603,Aria,Turkey
28604,Aycell,Turkey
28801,FT-GSM,
28802,KALL,
29001,Tele Greenland,Greenland
29340,Si.mobil,Slovenia
29341,Si-GSM,Slovenia
29370,Si VEGA 070,Slovenia
29401,MobiMak,Macedonia
29402,MTS AD,Macedonia
29501,Telecom,
29502,Montel,
29505,FL1,
29577,Tango,
30200001,Fido,Canada
30237,Microcell Connexions Inc,Canada
30272,Rogers AT&T,Canada
31001,Pacific Mobile Comms,Papua New Guinea
31002,APC Sprint Spectrum,U.S.A.
31011,Wireless 2000 Telephone,U.S.A.
31015,BellSouth Mobility DCS,U.S.A.
31017,Cingular (Pacific Bell Wireless),U.S.A.
31020,T-Mobile,U.S.A.
31026,Western Wireless Voicestream,U.S.A.
31027,Powertel,U.S.A.
31031,Aerial Communications,U.S.A.
31038,AT&T,U.S.A.
31077,Iowa Wireless Services,U.S.A.
33805,Digicel,JM
34001,Orange French West,Indies
34020,BouygTel French West,Indies
36801,C-Com,CU
37412,TSTT,
40001,Acell Telekom B.M.,Azerbaijan
40002,BKcell GSM 2000,Azerbaijan
40101,K-Mobile,Kazaksthan
40102,KCELL,Kazaksthan
40217,B-Mobile,BT
40401,Aircel Digilink Essar Cellph.,India
40402,Bharti Cellular Telecom Airtel,India
40403,Bharti Cellular Telecom Airtel,India
40405,Hutch,India
40407,TATA Cellular,India
40408,Ushafon,India
40410,Bharti Cellular Telecom Airtel,India
40411,Hutch,India
40412,Escotel Mobile Comms,India
40413,Hutch,India
40414,Ina Spice,India
40415,Aircel Digilink Essar Cellph.,India
40419,Escotel,India
40420,Orange,India
40421,BPL USWest Cellular,India
40422,Idea,India
40423,Usha Martin Tel. Command,India
40424,Idea,India
40426,Usha Martin Tel. Command,India
40427,BPL USWest Cellular,India
40430,Usha Martin Tel. Command,India
40431,Bharti Cellular Telecom Airtel,India
40432,Ushafone,India
40434,BPL USWest Cellular,India
40438,BPL USWest Cellular,India
40440,INA AIRTel,India
40441,RPG MAA,India
40442,Srinivas Cellcom,India
40443,BPL USWest Cellular,India
40444,Spice,India
40445,Bharti Cellular Telecom Airtel,India
40446,BPL USWest Cellular,India
40449,Bharti Cellular Telecom Airtel,India
40451,BSNL Mobile,India
40453,BSNL Mobile,India
40454,BSNL Mobile,India
40455,BSNL Mobile,India
40456,Escotel,India
40457,BSNL Mobile,India
40458,BSNL Mobile,India
40459,BSNL Mobile,India
40460,Aircel Digilink Essar Cellph.,India
40462,BSNL Mobile,India
40464,BSNL Mobile,India
40466,BSNL Mobile,India
40468,Dolphin,India
40469,Dolphin,INdia
40470,Oasis,India
40471,BSNL Mobile,India
40472,BSNL Mobile,India
40473,BSNL Mobile,India
40474,BSNL Mobile,India
40475,BSNL Mobile,India
40476,BSNL Mobile,India
40477,BSNL Mobile,India
40478,IDEA,India
40479,BSNL Mobile,India
40480,BSNL Mobile,India
40481,BSNL Mobile,India
40486,Hutch,India
40490,Bharti Cellular Telecom Airtel,India
40492,Bharti Cellular Telecom Airtel,India
40493,Bharti Cellular Telecom Airtel,India
40494,Bharti Cellular Telecom Airtel,India
40495,Bharti Cellular Telecom Airtel,India
40496,Bharti Cellular Telecom Airtel,India
40497,Bharti Cellular Telecom Airtel,India
40498,Bharti Cellular Telecom Airtel,India
41001,Ufone,Pakistan
41201,AWCC,AF
41302,MTN Networks Dialog GSM,Sri Lanka
41303,CellTel,Sri Lanka
41401,MPTGSM,
41501,FTML Cellis,Lebanon
41503,LibanCell,Lebanon
41601,J.M.T.S Fastlink,Jordan
41677,MobCom,Jordan
41701,SyriaTel,Syria
41702,94,Syria
41709,MOBILE Syrian Telecom Est.,Syria
41793,SyriaTel,Syria
41801,Iraq Telecom,Iraq
41902,Mobile Telecoms MTCNet,Kuwait
41903,Wataniya,Kuwait
42001,Ministry of PTT Al Jawal,Saudi Arabia
42007,Electronics App' Est. EAE,Saudi Arabia
42202,General Telecoms,Oman
42401,UAE ETISALAT-G1,United Arab Emirates
42402,UAE ETISALAT-G2,United Arab Emirates
42501,Orange,Israel
42502,Cellcom,Israel
42505,JAWWAL,Israel
42601,Batelco,Bahrain
42701,QATARNET,Qatar
42899,MobiCom,MN
43211,TCI,Iran
43214,Kish,Iran
43400,Uzmacom,Uzbekistan
43401,Buztel,Uzbekistan
43402,Uzmacom,Uzbekistan
43404,Daewoo Unitel,Uzbekistan
43405,Coscom,Uzbekistan
43407,UZD,Uzbekistan
43603,MLT TJK,Tadjikistan
43605,TajikTel,Tadjikistan
43701,Bitel,Kyrgyz Republic
44010,DoCoMo,Japan
45201,Mobifone,Vietnam
45202,Vinaphone,Vietnam
45400,Hong Kong Telecom CSL,Hong Kong
45404,Hutchison Telecom,Hong Kong
45406,SmarTone Mobile Comms,Hong Kong
45410,New World PCS,Hong Kong
45412,Peoples Telephone,Hong Kong
45416,Mandarin Com. Sunday,Hong Kong
45418,Pacific Link,Hong Kong
45422,P Plus Comm,Hong Kong
45501,C.T.M. TELEMOVEL+,Macau
45601,Mobitel,Cambodia
45602,SM,Cambodia
45618,Camshin,Cambodia
45701,Lao Shinawatra Telecom,Lao
45702,ETLMNW,Lao
45703,LatMil,Lao
45708,Tango,Lao
46000,China Telecom GSM,China
46001,China Unicom GSM,China
46002,Liaoning PPTA,China
46601,Far EasTone Telecoms,Taiwan
46606,TUNTEX Telecom,Taiwan
46688,KG Telecom,Taiwan
46692,Chunghwa Telecom,Taiwan
46693,Mobitai Communications,Taiwan
46697,Pacific Cellular TWNGSM,Taiwan
46699,TransAsia Telecoms,Taiwan
46701,Sun KP,People's Republic of Korea
47001,Grameen Phone,Bangladesh
47002,Aktel,Bangladesh
47003,Sheba Telecom,Bangladesh
47201,DHI Mobile,MV
50202,Binariang,Malaysia
50212,Maxis,Malaysia
50213,Telekom Cellular TM Touch,Malaysia
50216,DiGi Telecommunications,Malaysia
50217,TimeCel Wireless Adam,Malaysia
50219,Celcom,Malaysia
50501,Telstra Mobile Comms,Australia
50502,Optus,Australia
50503,Vodafone,Australia
50503,3,Australia
50508,OneTel,Australia
51001,PT. SATelindo C,Indonesia
51008,Lippo Telkomsel,Indonesia
51010,TelKomSel,Indonesia
51011,Pro XL,Indonesia
51021,IM3,Indonesia
51501,Isla Comms,Philippines
51502,Globe Telecom,Philippines
51503,Smart Communications,Philippines
51505,DigiTel,Philippines
52001,Advanced Info Service AIS,Thailand
52010,Orange,Thailand
52018,DTotal Access Worldphone,Thailand
52023,GSM 1800,Thailand
52099,Orange,Thailand
52501,Sing. Tel. GSM 900,Singapore
52502,Sing. Tel. GSM 1800,Singapore
52503,MobileOne Asia,Singapore
52504,M1-3GSM,Singapore
52505,StarHub,Singapore
52811,DST Communications Brunei,Darussalam
53001,Vodafone New,Zealand
53901,O-Call,ton
54101,Smile,VUT
54201,Vodafone Fiji,Fiji
54601,Mobilis New,Caledonia
54720,Vini French,Polynesia
55001,FSM Telecom,FSM
60201,MobiNil,Egypt
60202,Vodafone,Egypt
60301,Algerian Mobile Network,Algeria
60302,Djezzy,Algeria
60400,Meditel,Marocco
60401,Itissalat Al-Maghrib IAM,Marocco
60502,Tunisie Telecom Tunicell,Tunisia
60503,Tunisiana,Tunisia
60701,GamCel,GMB
60702,AfriCELL,GMB
60801,Sonatel ALIZE,Senegal
60802,Sentel,Senegal
60901,Mattel,MR
61001,Matitel,ML
61002,Ikatel,ML
61102,Sotelgui Lagui,Guinea
61201,Comstar Cellular Network,Cote d'Ivoire
61203,Orange,Cote d'Ivoire
61205,Telecel,Cote d'Ivoire
61302,CelTel,BF
61402,CelTel,NE
61501,Togo Telecom TOGO CELL,Togo
61602,TLCL-Ben,BJ
61603,Benincell,BJ
61604,BBcom,BJ
61701,Cellplus Mobile Comms,Mauritius
61710,Emtel,Mauritius
61801,Lonestar,Liberia
62001,ScanCom,Ghana
62002,OneToch,Ghana
62003,Mobitel,Ghana
62120,Econet,NG
62130,MTN,NG
62140,Nitel,NG
62201,CelTel,TC
62202,Libertis,TD
62401,MTN,Cameroon
62402,Orange,Cameroon
62501,Cabo Verde Movel,Cape Verde
62601,CSTMovel,STP
62701,GNQ01,GNQ
62801,Libertis,GA
62802,GAB,TeleCel
62803,CelTel,GA
62901,CelTel,CD
62910,Libertis,CD
63002,CelTel,RC
63004,CellCo GSM,RC
63089,OASIS,RC
63102,Unitel,AGO
63301,Seychelles Cellular Services,Seychelles
63310,AIRTEL,Seychelles
63401,Mobile Telephone Company,Sudan
63510,Rwandacell,Rwanda
63601,Ethiopian Telecoms Auth.,Ethiopia
63701,Barakaat,SOM
63782,Telsom,SOM
63902,Safaricom,KE
63903,KenCell,KE
64001,Tritel,Tanzania
64002,Mobitel,Tanzania
64003,Zantel,Tanzania
64005,CelTel,Tanzania
64101,Celtel Cellular,Uganda
64110,MTN Uganda,Uganda
64111,UTL Telecel,Uganda
64201,Spacetel,BI
64202,Busafa,BI
64301,mCel,MOZ
64501,Celtel,Zambia
64601,Madacom,Madagascar
64602,SMM Antaris,Madagascar
64603,Sacel,Madagascar
64700,Orange,Reunion
64702,OMT,Reunion
64710,Societe Reunionnaise SRR,Reunion
64801,NET*ONE,Zimbabwe
64803,Telecel,Zimbabwe
64804,Econet,Zimbabwe
64901,MTC,Namibia
65001,Telekom Network Callpoint,Malawi
65010,CelTel,Malawi
65101,VCL Comms,Lesotho
65102,Ezi Cel,Lesothp
65201,Mascom Wireless,Botswana
65202,Vista,Botswana
65310,Swazi MTN,SZ
65501,Vodacom,South Africa
65507,Cell C,South Africa
65510,MTN,South Africa
71201,ICE,CRI
72235,Port Hable,ARG
72402,TIM,Brazil
72403,TIM,Brazil
72404,TIM,Brazil
72405,Claro,Brazil
72431,Oi,Brazil
732101,Comcel,Columbia
73401,Infonet,Venezuela
73402,Digitel,Venezuela
74601,ICMS,SR
74602,TeleG,SR
